Date,Month,Day,Month name,Quarter,Year,Day No.
1/1/2009 0:00,1,Thursday,January,Q1,2009,1
1/2/2009 0:00,1,Friday,January,Q1,2009,2
1/3/2009 0:00,1,Saturday,January,Q1,2009,3
1/4/2009 0:00,1,Sunday,January,Q1,2009,4
1/5/2009 0:00,1,Monday,January,Q1,2009,5
1/6/2009 0:00,1,Tuesday,January,Q1,2009,6
1/7/2009 0:00,1,Wednesday,January,Q1,2009,7
1/8/2009 0:00,1,Thursday,January,Q1,2009,8
1/9/2009 0:00,1,Friday,January,Q1,2009,9
1/10/2009 0:00,1,Saturday,January,Q1,2009,10
1/11/2009 0:00,1,Sunday,January,Q1,2009,11
1/12/2009 0:00,1,Monday,January,Q1,2009,12
1/13/2009 0:00,1,Tuesday,January,Q1,2009,13
1/14/2009 0:00,1,Wednesday,January,Q1,2009,14
1/15/2009 0:00,1,Thursday,January,Q1,2009,15
1/16/2009 0:00,1,Friday,January,Q1,2009,16
1/17/2009 0:00,1,Saturday,January,Q1,2009,17
1/18/2009 0:00,1,Sunday,January,Q1,2009,18
1/19/2009 0:00,1,Monday,January,Q1,2009,19
1/20/2009 0:00,1,Tuesday,January,Q1,2009,20
1/21/2009 0:00,1,Wednesday,January,Q1,2009,21
1/22/2009 0:00,1,Thursday,January,Q1,2009,22
1/23/2009 0:00,1,Friday,January,Q1,2009,23
1/24/2009 0:00,1,Saturday,January,Q1,2009,24
1/25/2009 0:00,1,Sunday,January,Q1,2009,25
1/26/2009 0:00,1,Monday,January,Q1,2009,26
1/27/2009 0:00,1,Tuesday,January,Q1,2009,27
1/28/2009 0:00,1,Wednesday,January,Q1,2009,28
1/29/2009 0:00,1,Thursday,January,Q1,2009,29
1/30/2009 0:00,1,Friday,January,Q1,2009,30
1/31/2009 0:00,1,Saturday,January,Q1,2009,31
2/1/2009 0:00,2,Sunday,February,Q1,2009,1
2/2/2009 0:00,2,Monday,February,Q1,2009,2
2/3/2009 0:00,2,Tuesday,February,Q1,2009,3
2/4/2009 0:00,2,Wednesday,February,Q1,2009,4
2/5/2009 0:00,2,Thursday,February,Q1,2009,5
2/6/2009 0:00,2,Friday,February,Q1,2009,6
2/7/2009 0:00,2,Saturday,February,Q1,2009,7
2/8/2009 0:00,2,Sunday,February,Q1,2009,8
2/9/2009 0:00,2,Monday,February,Q1,2009,9
2/10/2009 0:00,2,Tuesday,February,Q1,2009,10
2/11/2009 0:00,2,Wednesday,February,Q1,2009,11
2/12/2009 0:00,2,Thursday,February,Q1,2009,12
2/13/2009 0:00,2,Friday,February,Q1,2009,13
2/14/2009 0:00,2,Saturday,February,Q1,2009,14
2/15/2009 0:00,2,Sunday,February,Q1,2009,15
2/16/2009 0:00,2,Monday,February,Q1,2009,16
2/17/2009 0:00,2,Tuesday,February,Q1,2009,17
2/18/2009 0:00,2,Wednesday,February,Q1,2009,18
2/19/2009 0:00,2,Thursday,February,Q1,2009,19
2/20/2009 0:00,2,Friday,February,Q1,2009,20
2/21/2009 0:00,2,Saturday,February,Q1,2009,21
2/22/2009 0:00,2,Sunday,February,Q1,2009,22
2/23/2009 0:00,2,Monday,February,Q1,2009,23
2/24/2009 0:00,2,Tuesday,February,Q1,2009,24
2/25/2009 0:00,2,Wednesday,February,Q1,2009,25
2/26/2009 0:00,2,Thursday,February,Q1,2009,26
2/27/2009 0:00,2,Friday,February,Q1,2009,27
2/28/2009 0:00,2,Saturday,February,Q1,2009,28
3/1/2009 0:00,3,Sunday,March,Q1,2009,1
3/2/2009 0:00,3,Monday,March,Q1,2009,2
3/3/2009 0:00,3,Tuesday,March,Q1,2009,3
3/4/2009 0:00,3,Wednesday,March,Q1,2009,4
3/5/2009 0:00,3,Thursday,March,Q1,2009,5
3/6/2009 0:00,3,Friday,March,Q1,2009,6
3/7/2009 0:00,3,Saturday,March,Q1,2009,7
3/8/2009 0:00,3,Sunday,March,Q1,2009,8
3/9/2009 0:00,3,Monday,March,Q1,2009,9
3/10/2009 0:00,3,Tuesday,March,Q1,2009,10
3/11/2009 0:00,3,Wednesday,March,Q1,2009,11
3/12/2009 0:00,3,Thursday,March,Q1,2009,12
3/13/2009 0:00,3,Friday,March,Q1,2009,13
3/14/2009 0:00,3,Saturday,March,Q1,2009,14
3/15/2009 0:00,3,Sunday,March,Q1,2009,15
3/16/2009 0:00,3,Monday,March,Q1,2009,16
3/17/2009 0:00,3,Tuesday,March,Q1,2009,17
3/18/2009 0:00,3,Wednesday,March,Q1,2009,18
3/19/2009 0:00,3,Thursday,March,Q1,2009,19
3/20/2009 0:00,3,Friday,March,Q1,2009,20
3/21/2009 0:00,3,Saturday,March,Q1,2009,21
3/22/2009 0:00,3,Sunday,March,Q1,2009,22
3/23/2009 0:00,3,Monday,March,Q1,2009,23
3/24/2009 0:00,3,Tuesday,March,Q1,2009,24
3/25/2009 0:00,3,Wednesday,March,Q1,2009,25
3/26/2009 0:00,3,Thursday,March,Q1,2009,26
3/27/2009 0:00,3,Friday,March,Q1,2009,27
3/28/2009 0:00,3,Saturday,March,Q1,2009,28
3/29/2009 0:00,3,Sunday,March,Q1,2009,29
3/30/2009 0:00,3,Monday,March,Q1,2009,30
3/31/2009 0:00,3,Tuesday,March,Q1,2009,31
4/1/2009 0:00,4,Wednesday,April,Q2,2009,1
4/2/2009 0:00,4,Thursday,April,Q2,2009,2
4/3/2009 0:00,4,Friday,April,Q2,2009,3
4/4/2009 0:00,4,Saturday,April,Q2,2009,4
4/5/2009 0:00,4,Sunday,April,Q2,2009,5
4/6/2009 0:00,4,Monday,April,Q2,2009,6
4/7/2009 0:00,4,Tuesday,April,Q2,2009,7
4/8/2009 0:00,4,Wednesday,April,Q2,2009,8
4/9/2009 0:00,4,Thursday,April,Q2,2009,9
4/10/2009 0:00,4,Friday,April,Q2,2009,10
4/11/2009 0:00,4,Saturday,April,Q2,2009,11
4/12/2009 0:00,4,Sunday,April,Q2,2009,12
4/13/2009 0:00,4,Monday,April,Q2,2009,13
4/14/2009 0:00,4,Tuesday,April,Q2,2009,14
4/15/2009 0:00,4,Wednesday,April,Q2,2009,15
4/16/2009 0:00,4,Thursday,April,Q2,2009,16
4/17/2009 0:00,4,Friday,April,Q2,2009,17
4/18/2009 0:00,4,Saturday,April,Q2,2009,18
4/19/2009 0:00,4,Sunday,April,Q2,2009,19
4/20/2009 0:00,4,Monday,April,Q2,2009,20
4/21/2009 0:00,4,Tuesday,April,Q2,2009,21
4/22/2009 0:00,4,Wednesday,April,Q2,2009,22
4/23/2009 0:00,4,Thursday,April,Q2,2009,23
4/24/2009 0:00,4,Friday,April,Q2,2009,24
4/25/2009 0:00,4,Saturday,April,Q2,2009,25
4/26/2009 0:00,4,Sunday,April,Q2,2009,26
4/27/2009 0:00,4,Monday,April,Q2,2009,27
4/28/2009 0:00,4,Tuesday,April,Q2,2009,28
4/29/2009 0:00,4,Wednesday,April,Q2,2009,29
4/30/2009 0:00,4,Thursday,April,Q2,2009,30
5/1/2009 0:00,5,Friday,May,Q2,2009,1
5/2/2009 0:00,5,Saturday,May,Q2,2009,2
5/3/2009 0:00,5,Sunday,May,Q2,2009,3
5/4/2009 0:00,5,Monday,May,Q2,2009,4
5/5/2009 0:00,5,Tuesday,May,Q2,2009,5
5/6/2009 0:00,5,Wednesday,May,Q2,2009,6
5/7/2009 0:00,5,Thursday,May,Q2,2009,7
5/8/2009 0:00,5,Friday,May,Q2,2009,8
5/9/2009 0:00,5,Saturday,May,Q2,2009,9
5/10/2009 0:00,5,Sunday,May,Q2,2009,10
5/11/2009 0:00,5,Monday,May,Q2,2009,11
5/12/2009 0:00,5,Tuesday,May,Q2,2009,12
5/13/2009 0:00,5,Wednesday,May,Q2,2009,13
5/14/2009 0:00,5,Thursday,May,Q2,2009,14
5/15/2009 0:00,5,Friday,May,Q2,2009,15
5/16/2009 0:00,5,Saturday,May,Q2,2009,16
5/17/2009 0:00,5,Sunday,May,Q2,2009,17
5/18/2009 0:00,5,Monday,May,Q2,2009,18
5/19/2009 0:00,5,Tuesday,May,Q2,2009,19
5/20/2009 0:00,5,Wednesday,May,Q2,2009,20
5/21/2009 0:00,5,Thursday,May,Q2,2009,21
5/22/2009 0:00,5,Friday,May,Q2,2009,22
5/23/2009 0:00,5,Saturday,May,Q2,2009,23
